Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
Proy_SoftTienda,com.soft.tienda.app,ServletInitializer,configure,3,1,1
Proy_SoftTienda,com.soft.tienda.app,SofTiendaApplication,main,3,1,1
Proy_SoftTienda,com.soft.tienda.config,SwaggerConfig,apiDocket,3,1,0
Proy_SoftTienda,com.soft.tienda.config,SwaggerConfig,getApiInfo,3,1,0
Proy_SoftTienda,com.soft.tienda.controllers,ClienteController,registrarCliente,2,1,1
Proy_SoftTienda,com.soft.tienda.controllers,ClienteController,consultarCliente,3,1,1
Proy_SoftTienda,com.soft.tienda.controllers,ClienteController,listaDeClientes,3,1,0
Proy_SoftTienda,com.soft.tienda.controllers,ClienteController,eliminarCliente,2,1,1
Proy_SoftTienda,com.soft.tienda.controllers,ClienteController,editarCliente,2,1,1
Proy_SoftTienda,com.soft.tienda.controllers,ProductoController,agregarProducto,4,1,1
Proy_SoftTienda,com.soft.tienda.controllers,ProductoController,obtenerProductos,4,1,1
Proy_SoftTienda,com.soft.tienda.controllers,ProductoController,obtenerProductos,4,1,0
Proy_SoftTienda,com.soft.tienda.controllers,ProductoController,editarProducto,4,1,2
Proy_SoftTienda,com.soft.tienda.controllers,ProductoController,eliminarProducto,4,1,1
Proy_SoftTienda,com.soft.tienda.controllers,ProveedorController,registrarProveedor,2,1,1
Proy_SoftTienda,com.soft.tienda.controllers,ProveedorController,consultarProveedor,3,1,1
Proy_SoftTienda,com.soft.tienda.controllers,ProveedorController,listaDeProveedores,3,1,0
Proy_SoftTienda,com.soft.tienda.controllers,ProveedorController,eliminarProveedor,2,1,1
Proy_SoftTienda,com.soft.tienda.controllers,ProveedorController,editarProveedor,2,1,1
Proy_SoftTienda,com.soft.tienda.controllers,UsuarioController,registrarUsuario,2,1,1
Proy_SoftTienda,com.soft.tienda.controllers,UsuarioController,consultarUsuario,3,1,1
Proy_SoftTienda,com.soft.tienda.controllers,UsuarioController,listaDeUsuarios,3,1,0
Proy_SoftTienda,com.soft.tienda.controllers,UsuarioController,eliminarUsuario,2,1,1
Proy_SoftTienda,com.soft.tienda.controllers,UsuarioController,editarUsuario,2,1,1
Proy_SoftTienda,com.soft.tienda.controllers,VentaController,consecutivoFactura,3,1,0
Proy_SoftTienda,com.soft.tienda.controllers,VentaController,registrarVenta,2,1,1
Proy_SoftTienda,com.soft.tienda.controllers,VentaController,registrarDetalleVenta,2,1,1
Proy_SoftTienda,com.soft.tienda.controllers,UsuarioControllerTest,setUp,2,1,0
Proy_SoftTienda,com.soft.tienda.controllers,UsuarioControllerTest,registrarUsuario,2,1,0
Proy_SoftTienda,com.soft.tienda.controllers,UsuarioControllerTest,consultarUsuario,2,1,0
Proy_SoftTienda,com.soft.tienda.controllers,UsuarioControllerTest,listaDeUsuarios,2,1,0
Proy_SoftTienda,com.soft.tienda.controllers,UsuarioControllerTest,eliminarUsuario,2,1,0
Proy_SoftTienda,com.soft.tienda.controllers,UsuarioControllerTest,editarUsuario,2,1,0
Proy_SoftTienda,com.soft.tienda.dto,ClienteDTO,getCedulaCliente,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,ClienteDTO,setCedulaCliente,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,ClienteDTO,getDireccionCliente,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,ClienteDTO,setDireccionCliente,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,ClienteDTO,getEmailCliente,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,ClienteDTO,setEmailCliente,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,ClienteDTO,getNombreCliente,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,ClienteDTO,setNombreCliente,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,ClienteDTO,getTelefonoCliente,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,ClienteDTO,setTelefonoCliente,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,DetallesVentaDTO,getCodigo_detalle_venta,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,DetallesVentaDTO,setCodigo_detalle_venta,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,DetallesVentaDTO,getCantidad_producto,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,DetallesVentaDTO,setCantidad_producto,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,DetallesVentaDTO,getCodigo_producto,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,DetallesVentaDTO,setCodigo_producto,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,DetallesVentaDTO,getCodigo_venta,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,DetallesVentaDTO,setCodigo_venta,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,DetallesVentaDTO,getValor_total,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,DetallesVentaDTO,setValor_total,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,DetallesVentaDTO,getValor_iva,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,DetallesVentaDTO,setValor_iva,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,DetallesVentaDTO,getValor_venta,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,DetallesVentaDTO,setValor_venta,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,ProductoDTO,getCodigoProducto,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,ProductoDTO,setCodigoProducto,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,ProductoDTO,getNombreProducto,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,ProductoDTO,setNombreProducto,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,ProductoDTO,getNitProveedor,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,ProductoDTO,setNitProveedor,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,ProductoDTO,getPrecioCompra,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,ProductoDTO,setPrecioCompra,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,ProductoDTO,getIvaCompra,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,ProductoDTO,setIvaCompra,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,ProductoDTO,getPrecioVenta,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,ProductoDTO,setPrecioVenta,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,ProveedorDTO,getNitProveedor,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,ProveedorDTO,setNitProveedor,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,ProveedorDTO,getCiudadProveedor,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,ProveedorDTO,setCiudadProveedor,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,ProveedorDTO,getDireccionProvedor,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,ProveedorDTO,setDireccionProvedor,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,ProveedorDTO,getNombreProveedor,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,ProveedorDTO,setNombreProveedor,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,ProveedorDTO,getTelefonoProveedor,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,ProveedorDTO,setTelefonoProveedor,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,UsuarioDTO,getCedulaUsuario,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,UsuarioDTO,setCedulaUsuario,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,UsuarioDTO,getEmailUsuario,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,UsuarioDTO,setEmailUsuario,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,UsuarioDTO,getNombreUsuario,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,UsuarioDTO,setNombreUsuario,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,UsuarioDTO,getPassword,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,UsuarioDTO,setPassword,3,1,1
Proy_SoftTienda,com.soft.tienda.dto,UsuarioDTO,getUsuario,3,1,0
Proy_SoftTienda,com.soft.tienda.dto,UsuarioDTO,setUsuario,3,1,1
Proy_SoftTienda,com.soft.tienda.exceptions,UsuarioException,UsuarioException,3,1,1
Proy_SoftTienda,com.soft.tienda.helpers,MapperHelper,transformar,0,1,1
Proy_SoftTienda,com.soft.tienda.repositories,UserRepository,obtenerUsuarioPorCorreo,0,1,1
Proy_SoftTienda,com.soft.tienda.repositories,UserRepositoryTest,setUp,2,1,0
Proy_SoftTienda,com.soft.tienda.repositories,UserRepositoryTest,obtenerPorCorreo,2,1,0
Proy_SoftTienda,com.soft.tienda.services,ClienteService,agregarCliente,0,1,1
Proy_SoftTienda,com.soft.tienda.services,ClienteServiceImpl,agregarCliente,2,1,1
Proy_SoftTienda,com.soft.tienda.services,IProductoService,findAll,0,1,0
Proy_SoftTienda,com.soft.tienda.services,IProductoService,findById,0,1,1
Proy_SoftTienda,com.soft.tienda.services,IProductoService,addProduct,0,1,1
Proy_SoftTienda,com.soft.tienda.services,IProductoService,deleteById,0,1,1
Proy_SoftTienda,com.soft.tienda.services,IProductoService,updateProduct,0,1,2
Proy_SoftTienda,com.soft.tienda.services,ProductoServiceImpl,findAll,4,1,0
Proy_SoftTienda,com.soft.tienda.services,ProductoServiceImpl,findById,13,1,1
Proy_SoftTienda,com.soft.tienda.services,ProductoServiceImpl,addProduct,15,1,1
Proy_SoftTienda,com.soft.tienda.services,ProductoServiceImpl,deleteById,14,1,1
Proy_SoftTienda,com.soft.tienda.services,ProductoServiceImpl,updateProduct,15,1,2
Proy_SoftTienda,com.soft.tienda.services,UsuarioService,consultarUsuarios,0,1,0
Proy_SoftTienda,com.soft.tienda.services,UsuarioService,consultarUsuarioPorCorreoElectronico,0,1,1
Proy_SoftTienda,com.soft.tienda.services,UsuarioServiceImpl,consultarUsuarios,3,1,0
Proy_SoftTienda,com.soft.tienda.services,UsuarioServiceImpl,consultarUsuarioPorCorreoElectronico,3,1,1
Proy_SoftTienda,com.soft.tienda.services,ProductoServiceImplTest,setUp,3,1,0
Proy_SoftTienda,com.soft.tienda.services,ProductoServiceImplTest,testUpdateProductSuccess,9,1,0
Proy_SoftTienda,com.soft.tienda.services,ProductoServiceImplTest,testUpdateProductFailure,8,1,0
Proy_SoftTienda,com.soft.tienda.services,UsuarioServiceImplTest,consultarUsuarioPorCorreoElectronicoLanzaExcepcionPorNoExistirCorreo,5,1,0
Proy_SoftTienda,com.soft.tienda.services,UsuarioServiceImplTest,consultarUsuarioPorCorreoElectronicoRetornaUsuario,7,1,0
